{k:"Tarih",s:"Türkiye Cumhuriyeti ne zaman kuruldu?",o:["1920","1922","1923","1925"],d:2,a:"29 Ekim 1923'te ilan edildi."},
{k:"Tarih",s:"Cumhuriyetimizin kurucusu kimdir?",o:["İsmet İnönü","Atatürk","Fevzi Çakmak","Kazım Karabekir"],d:1,a:"Mustafa Kemal Atatürk kurucumuzdur."},
{k:"Tarih",s:"23 Nisan hangi bayramdır?",o:["Zafer","Cumhuriyet","Egemenlik ve Çocuk","Gençlik"],d:2,a:"Ulusal Egemenlik ve Çocuk Bayramı."},
{k:"Tarih",s:"29 Ekim hangi bayramdır?",o:["Zafer","Cumhuriyet","Çocuk","Gençlik"],d:1,a:"Cumhuriyet Bayramı'dır."},
{k:"Tarih",s:"30 Ağustos hangi bayramdır?",o:["Zafer","Cumhuriyet","Çocuk","Gençlik"],d:0,a:"Zafer Bayramı, 1922 Büyük Taarruz."},
{k:"Tarih",s:"19 Mayıs hangi bayramdır?",o:["Zafer","Cumhuriyet","Çocuk","Gençlik ve Spor"],d:3,a:"Atatürk 1919'da Samsun'a çıktı."},
{k:"Tarih",s:"İstanbul'un fethi hangi yılda oldu?",o:["1071","1299","1453","1923"],d:2,a:"1453'te Fatih Sultan Mehmet fethetti."},
{k:"Tarih",s:"Osmanlı Devleti'ni kim kurdu?",o:["Fatih","Osman Bey","Kanuni","Yavuz"],d:1,a:"Osman Bey 1299'da kurdu."},
{k:"Tarih",s:"Atatürk nerede doğdu?",o:["Ankara","İstanbul","Selanik","İzmir"],d:2,a:"1881'de Selanik'te doğdu."},
{k:"Tarih",s:"TBMM ilk ne zaman açıldı?",o:["23 Nisan 1920","29 Ekim 1923","19 Mayıs 1919","30 Ağustos 1922"],d:0,a:"23 Nisan 1920'de Ankara'da açıldı."},
{k:"Tarih",s:"Piramitler hangi ülkededir?",o:["Irak","İran","Mısır","Suriye"],d:2,a:"Piramitler Mısır'dadır."},
{k:"Tarih",s:"İlk yazıyı kim buldu?",o:["Mısırlılar","Sümerler","Romalılar","Yunanlılar"],d:1,a:"Sümerler MÖ 3500'de çivi yazısını buldu."},
{k:"Tarih",s:"Malazgirt Savaşı hangi yıl yapıldı?",o:["1071","1176","1243","1453"],d:0,a:"1071'de Anadolu'nun kapıları açıldı."},
{k:"Tarih",s:"Çanakkale Savaşı ne zaman oldu?",o:["1912","1914","1915","1918"],d:2,a:"Çanakkale Savaşı 1915'te yapıldı."},
{k:"Tarih",s:"Hangi medeniyet piramitleri inşa etti?",o:["Romalılar","Yunanlılar","Mısırlılar","Fenikeliler"],d:2,a:"Antik Mısırlılar inşa etti."},
{k:"Tarih",s:"Atatürk'ün soyadı ne zaman verildi?",o:["1920","1923","1934","1938"],d:2,a:"1934 Soyadı Kanunu ile verildi."},
{k:"Tarih",s:"Ankara ne zaman başkent oldu?",o:["1920","1923","1925","1930"],d:1,a:"13 Ekim 1923'te başkent ilan edildi."},
{k:"Tarih",s:"Türk bayrağındaki ay-yıldız neyi temsil eder?",o:["Güneş","Bağımsızlık","Ay ve yıldız","Deniz"],d:2,a:"Bayraktaki semboller ay ve yıldızdır."},
{k:"Tarih",s:"Cumhuriyet öncesi devletin adı neydi?",o:["Selçuklu","Osmanlı","Bizans","Roma"],d:1,a:"Osmanlı İmparatorluğu'ydu."},
{k:"Tarih",s:"Atatürk'ün ilk askeri başarısı nerede oldu?",o:["İstanbul","Çanakkale","Sakarya","Ankara"],d:1,a:"Çanakkale'de büyük başarı kazandı."},
{k:"Tarih",s:"İstiklal Marşı'nı kim yazdı?",o:["Atatürk","Mehmet Akif Ersoy","Nazım Hikmet","Yahya Kemal"],d:1,a:"Mehmet Akif Ersoy yazmıştır."},
{k:"Tarih",s:"İstiklal Marşı ne zaman kabul edildi?",o:["1920","1921","1923","1930"],d:1,a:"12 Mart 1921'de kabul edildi."},
{k:"Tarih",s:"Harf inkılabı ne zaman yapıldı?",o:["1923","1925","1928","1934"],d:2,a:"1928'de Latin harflerine geçildi."},
{k:"Tarih",s:"İlk Türk devleti hangisidir?",o:["Osmanlı","Selçuklu","Göktürk","Hun"],d:3,a:"Büyük Hun İmparatorluğu ilk Türk devletidir."},
{k:"Tarih",s:"Mete Han hangi devletin hükümdarıdır?",o:["Osmanlı","Selçuklu","Göktürk","Hun"],d:3,a:"Mete Han Büyük Hun İmparatorluğu hükümdarıdır."},
{k:"Tarih",s:"Kurtuluş Savaşı hangi yıllar arasında oldu?",o:["1914-1918","1919-1922","1923-1930","1912-1913"],d:1,a:"Kurtuluş Savaşı 1919-1922 arasında oldu."},
